id_proveedor,pais
72167477,Filipinas
62047888,Canadá
42015971,Malasia
44697919,México
87299570,Tailandia
69674874,Corea del Sur
22790114,Papúa Nueva Guinea
82833025,Corea del Sur
61418894,Indonesia
43828366,Perú
12648509,Japón
51354048,Corea del Sur
61747208,Nueva Zelanda
20204889,Indonesia
85272495,Nueva Zelanda
48813660,México
40382399,Corea del Sur
49108443,Singapur
10067585,Australia
21433566,Singapur
31607116,Indonesia
61340601,Filipinas
79468513,Vietnam
59350677,Corea del Sur
24923939,Perú
19310157,Hong Kong
46254022,Rusia
33083750,Nueva Zelanda
48535886,Australia
53109891,Hong Kong
75721703,México
30746112,Rusia
94496415,Australia
82419006,Tailandia
31498005,Hong Kong
16159188,China
75778109,Japón
61094787,Hong Kong
56062264,Filipinas
22600625,Vietnam
87927193,Australia
44142276,Nueva Zelanda
88376399,Vietnam
15336173,Chile
56302281,China
77409570,Rusia
93541046,Nueva Zelanda
11208496,Hong Kong
96863039,Vietnam
81621400,Nueva Zelanda
15340423,Malasia
97439222,Papúa Nueva Guinea
28315417,Tailandia
72560306,Malasia
11436160,México
15189575,Corea del Sur
27524093,Singapur
60658704,Corea del Sur
18803166,Corea del Sur
61414796,Brunei Darussalam
54228838,Estados Unidos
74232603,Malasia
57449905,China
16276145,Perú
28667165,Australia
49351000,Rusia
16318391,Filipinas
30387816,Vietnam
65205715,Indonesia
58303821,Canadá
32789875,Singapur
54544432,Corea del Sur
37492662,Tailandia
13651552,Vietnam
59055502,Hong Kong
37971516,Indonesia
64727613,Rusia
71973367,Perú
44188682,Malasia
11480620,Tailandia
83490528,México
21523508,China
90071154,Singapur
77041000,Rusia
96376821,Indonesia
83750489,Hong Kong
66982709,Perú
32313873,Brunei Darussalam
81633139,Rusia
87732116,China
77295353,Indonesia
26241803,Brunei Darussalam
76527663,México
22028164,Filipinas
34149340,Brunei Darussalam
84847059,Canadá
97320895,Singapur
39565208,Chile
39727387,Chile
37351842,México
60354172,Singapur
81719766,Brunei Darussalam
48457540,Filipinas
57297720,Nueva Zelanda
85329205,Tailandia
83445138,Malasia
47054203,Tailandia
53725024,México
75607894,Singapur
28510672,China
81373561,Australia
62138671,Singapur
79565989,Australia
79244820,Tailandia
88773408,Rusia
21548774,Australia
13522822,Hong Kong
83481405,Australia
13122310,Corea del Sur
11779686,Filipinas
94138961,Canadá
88940729,Nueva Zelanda
47998027,Corea del Sur
31176769,Perú
51574353,Japón
70834065,Australia
51370407,Canadá
79919651,Malasia
25296821,Indonesia
87389201,Malasia
67716389,Canadá
14712312,Australia
51552441,Singapur
25246226,Australia
28982432,Hong Kong
99055805,México
65078542,Japón
57383849,Corea del Sur
45951887,Rusia
94601016,Tailandia
83083567,Malasia
92169050,Chile
81850905,Malasia
45084474,Vietnam
24437935,Brunei Darussalam
74332130,Japón
73575707,Chile
99914553,México
69023754,Vietnam
15740239,Malasia
20777577,Indonesia
33402513,Hong Kong
54163356,Malasia
65189120,Perú
52163581,Australia
36261935,Tailandia
32554013,México
87702183,Hong Kong
34349109,Perú
38829779,Chile
64941174,Tailandia
50144253,Canadá
91733204,Estados Unidos
64473272,Australia
54916532,Canadá
22498572,Corea del Sur
95420612,Japón
85352078,Canadá
97532412,México
45823812,México
82726566,Filipinas
70278383,Corea del Sur
42688639,Estados Unidos
73126404,Rusia
35270219,Indonesia
12358866,Vietnam
95634383,China
42271605,Singapur
42116536,Perú
80287214,Japón
66104115,México
93388901,Hong Kong
51323751,Japón
72757236,Japón
45165437,China
37721175,Australia
49053691,Singapur
24497231,Singapur
86831299,Singapur
83532899,Rusia
55538107,Perú
60385337,Japón
32326952,Malasia
86017831,México
49467033,Indonesia
94221197,Indonesia
99516960,Tailandia
26809543,Tailandia
11262364,Estados Unidos
90640158,Vietnam
83423899,Brunei Darussalam
42145437,Hong Kong
89048670,Hong Kong
12102096,Perú
41036692,Chile
69410666,Papúa Nueva Guinea
28745816,Perú
41542237,Chile
83700465,Nueva Zelanda
73442360,Canadá
22950047,China
24868929,Tailandia
13360464,Hong Kong
80312041,Australia
25191540,Singapur
65763700,Singapur
57773314,Corea del Sur
76762067,Perú
59034275,Japón
79799134,Malasia
86645100,Perú
73309738,Perú
77000680,Vietnam
72689294,Singapur
72629266,China
69145150,Estados Unidos
48155818,Chile
61123503,Filipinas
82493922,Rusia
69864747,China
30029994,Estados Unidos
54508295,Chile
66051418,Filipinas
64321958,Papúa Nueva Guinea
12689750,Chile
44166405,México
98707430,China
85094409,Canadá
22761160,Singapur
84291014,China
24123935,Malasia
77203838,China
64854613,Papúa Nueva Guinea
50068026,Indonesia
18019833,Filipinas
83658191,Filipinas
94616316,Chile
47185040,Indonesia
16996728,Chile
62579474,Vietnam
76214692,Vietnam
12839504,Australia
43655589,Vietnam
49899866,Indonesia
32892490,Estados Unidos
55103766,Tailandia
18100828,Canadá
97492955,Tailandia
13305403,México
12700262,Perú
86944875,Japón
47413862,China
32375902,Canadá
31667562,Malasia
95962523,Nueva Zelanda
25409311,Chile
61540192,Filipinas
43978259,Estados Unidos
27639206,Indonesia
57224155,Corea del Sur
68543360,Brunei Darussalam
86462190,Filipinas
